country	capital	area	population	continent	currency
kuwait_2_PN	kuwait_city_PN	17818	4600000	asia_1_PN	(AdjCN (PositA kuwaiti_1_A) (UseN dinar_5_N))
kyrgyzstan_PN	bishkek_PN	199951	6201500	asia_1_PN	(AdjCN (PositA kyrgyzstani_A) (UseN som_2_N))
laos_PN	vientiane_PN	236800	6858160	asia_1_PN	(AdjCN (PositA lao_A) (UseN kip_2_N))
latvia_PN	riga_PN	64589	1909000	europe_1_PN	(UseN euro_1_N)
lebanon_PN	beirut_PN	10452	6100075	asia_1_PN	(AdjCN (PositA lebanese_A) (UseN pound_6_N))
lesotho_PN	maseru_PN	30355	2233339	africa_PN	(GenPN lesotho_PN (UseN loti_N))
liberia_PN	monrovia_PN	111369	4731906	africa_PN	(AdjCN (PositA liberian_A) (UseN dollar_1_N))
libya_PN	tripoli_PN	1759541	6678567	africa_PN	(AdjCN (PositA libyan_A) (UseN dinar_4_N))
liechtenstein_PN	vaduz_PN	160	37922	europe_1_PN	(AdjCN (PositA swiss_A) (UseN franc_N))
lithuania_PN	vilnius_PN	65300	2790842	europe_1_PN	(UseN euro_1_N)
luxembourg_2_PN	luxembourg_1_PN	2586	626108	europe_1_PN	(UseN euro_1_N)
madagascar_1_PN	antananarivo_PN	587295	25570895	africa_PN	(UseN ariary_N)
malawi_PN	lilongwe_PN	118484	18622104	africa_PN	(AdjCN (PositA malawian_A) (UseN kwacha_2_N))
malaysia_PN	kuala_lumpur_PN	330290	31624264	asia_1_PN	(AdjCN (PositA malaysian_A) (UseN ringgit_N))
maldives_PN	malé_PN	298	436330	asia_1_PN	(AdjCN (PositA maldivian_A) (UseN rufiyaa_N))
mali_PN	bamako_PN	1240192	18541980	africa_PN	(AdjCN (PositA west_african_A) (UseN cfa_franc_N))
malta_1_PN	valletta_PN	316	465292	europe_1_PN	(UseN euro_1_N)
marshall_islands_PN	majuro_PN	181	53127	oceania_PN	(GenPN united_states_PN (UseN dollar_1_N))
mauritania_PN	nouakchott_PN	1030700	4420184	africa_PN	(AdjCN (PositA mauritanian_A) (UseN ouguiya_N))
mauritius_1_PN	port_louis_PN	2040	1264613	africa_PN	(AdjCN (PositA mauritian_A) (UseN rupee_4_N))
mexico_PN	mexico_city_PN	1972550	124777324	north_america_1_PN	(AdjCN (PositA mexican_A) (UseN peso_3_N))
moldova_PN	chisinau_PN	33846	2550900	europe_1_PN	(AdjCN (PositA moldovan_A) (UseN leu_1_N))
monaco_PN	monaco_city_PN	2	38695	europe_1_PN	(UseN euro_1_N)
mongolia_1_PN	ulaanbaatar_PN	1566000	3075647	asia_1_PN	(UseN tugrik_1_N)
montenegro_PN	podgorica_PN	13812	622359	europe_1_PN	(UseN euro_1_N)
morocco_PN	rabat_PN	710850	36029138	africa_PN	(AdjCN (PositA moroccan_A) (UseN dirham_3_N))
mozambique_PN	maputo_PN	801590	29668834	africa_PN	(AdjCN (PositA mozambican_1_A) (UseN metical_N))
myanmar_PN	naypyidaw_PN	676577	53370609	asia_1_PN	(UseN kyat_N)
namibia_PN	windhoek_PN	825615	2533794	africa_PN	(AdjCN (PositA namibian_A) (UseN dollar_1_N))
